ARO_accession	Name	Lineage	Drug_name	PubChem_ID	Protein_accession	DNA_accession	Organism	Tax_ID
ARO:3000363	EreB	ARO:3000363@ARO:0000006#ARO:0000006	erythromycin	12560	CAA01212.1	A15097	Escherichia coli	562
ARO:3000363	EreB	ARO:3000363@ARO:0000027#ARO:0000027	roxithromycin	5480431	CAA01212.1	A15097	Escherichia coli	562
ARO:3000363	EreB	ARO:3000363@ARO:0000065#ARO:0000065	clarithromycin	84029	CAA01212.1	A15097	Escherichia coli	562
ARO:3000363	EreB	ARO:3000363@ARO:3000158#ARO:3000158	azithromycin	447043	CAA01212.1	A15097	Escherichia coli	562
ARO:3003702	Pseudomonas aeruginosa gyrA and parC conferring resistance to fluoroquinolone	ARO:3003702=ARO:3003684@ARO:0000036#ARO:0000036	ciprofloxacin	2764	BAA37152.1	AB003428.1	Pseudomonas aeruginosa	287
ARO:3003702	Pseudomonas aeruginosa gyrA and parC conferring resistance to fluoroquinolone	ARO:3003702=ARO:3003684@ARO:0000071#ARO:0000071	levofloxacin	149096	BAA37152.1	AB003428.1	Pseudomonas aeruginosa	287
ARO:3003702	Pseudomonas aeruginosa gyrA and parC conferring resistance to fluoroquinolone	ARO:3003702=ARO:3003684@ARO:3000663#ARO:3000663	ofloxacin	4583	BAA37152.1	AB003428.1	Pseudomonas aeruginosa	287
ARO:3003702	Pseudomonas aeruginosa gyrA and parC conferring resistance to fluoroquinolone	ARO:3003702=ARO:3003684@ARO:3000666#ARO:3000666	sparfloxacin	60464	BAA37152.1	AB003428.1	Pseudomonas aeruginosa	287
ARO:3003702	Pseudomonas aeruginosa gyrA and parC conferring resistance to fluoroquinolone	ARO:3003702=ARO:3003684@ARO:3000762#ARO:3000762	pefloxacin	51081	BAA37152.1	AB003428.1	Pseudomonas aeruginosa	287
ARO:3003702	Pseudomonas aeruginosa gyrA and parC conferring resistance to fluoroquinolone	ARO:3003702=ARO:3003684@ARO:3003690#ARO:3003690	sitafloxacin	461399	BAA37152.1	AB003428.1	Pseudomonas aeruginosa	287
ARO:3003788	Bacillus subtilis pgsA mutations conferring resistance to daptomycin	ARO:3003788@ARO:0000068#ARO:0000068	daptomycin	16129688	BAA85265	AB016245	Bacillus subtilis	1423
ARO:3000423	FomA	ARO:3000423@ARO:0000025#ARO:0000025	fosfomycin	73491	BAA32493.1	AB016934	Streptomyces wedmorensis	43759
ARO:3000449	FomB	ARO:3000449@ARO:0000025#ARO:0000025	fosfomycin	73491	BAA32494.1	AB016934	Streptomyces wedmorensis	43759
ARO:3002544	AAC(3)-Xa	ARO:3002544@ARO:0000049#ARO:0000049	kanamycin A	6032	BAA78619.1	AB028210	Streptomyces griseus	1911
ARO:3002870	tet34	ARO:3002870@ARO:0000051#ARO:0000051	tetracycline	5497101	BAB59035.1	AB061440	Vibrio sp. No.6	159729
ARO:3002670	cat	ARO:3002670@ARO:3000382#ARO:3000382	azidamfenicol	62858	BAC11901.1	AB080798	Streptococcus suis	1307
ARO:3002670	cat	ARO:3002670@ARO:3000385#ARO:3000385	chloramphenicol	5959	BAC11901.1	AB080798	Streptococcus suis	1307
ARO:3002670	cat	ARO:3002670@ARO:3000456#ARO:3000456	thiamphenicol	27200	BAC11901.1	AB080798	Streptococcus suis	1307
ARO:3000859	rmtA	ARO:3000859@ARO:0000007#ARO:0000007	dibekacin	3021	BAC20579.1	AB083212	Pseudomonas aeruginosa	287
ARO:3000859	rmtA	ARO:3000859@ARO:0000013#ARO:0000013	amikacin	37768	BAC20579.1	AB083212	Pseudomonas aeruginosa	287
ARO:3000859	rmtA	ARO:3000859@ARO:0000035#ARO:0000035	sisomicin	36119	BAC20579.1	AB083212	Pseudomonas aeruginosa	287
ARO:3000859	rmtA	ARO:3000859@ARO:0000038#ARO:0000038	netilmicin	41859	BAC20579.1	AB083212	Pseudomonas aeruginosa	287
ARO:3000859	rmtA	ARO:3000859@ARO:0000049#ARO:0000049	kanamycin A	6032	BAC20579.1	AB083212	Pseudomonas aeruginosa	287
ARO:3000859	rmtA	ARO:3000859@ARO:0000052#ARO:0000052	tobramycin	36294	BAC20579.1	AB083212	Pseudomonas aeruginosa	287
ARO:3000859	rmtA	ARO:3000859@ARO:3000652#ARO:3000652	isepamicin	3755	BAC20579.1	AB083212	Pseudomonas aeruginosa	287
ARO:3000859	rmtA	ARO:3000859@ARO:3000653#ARO:3000653	G418	123865	BAC20579.1	AB083212	Pseudomonas aeruginosa	287
ARO:3000859	rmtA	ARO:3000859@ARO:3000654#ARO:3000654	arbekacin	68682	BAC20579.1	AB083212	Pseudomonas aeruginosa	287
ARO:3000859	rmtA	ARO:3000859@ARO:3000655#ARO:3000655	gentamicin B	37569	BAC20579.1	AB083212	Pseudomonas aeruginosa	287
ARO:3000166	tet(B)	ARO:3000166@ARO:0000051#ARO:0000051	tetracycline	5497101	BAC67143.1	AB089595	Gram-negative bacterium TC71	203855
ARO:3002573	AAC(6')-Iae	ARO:3002573=ARO:3000345@ARO:0000005#ARO:0000005	neomycin	8378	BAD14386.1	AB104852	Pseudomonas aeruginosa	287
ARO:3002573	AAC(6')-Iae	ARO:3002573=ARO:3000345@ARO:0000007#ARO:0000007	dibekacin	3021	BAD14386.1	AB104852	Pseudomonas aeruginosa	287
ARO:3002573	AAC(6')-Iae	ARO:3002573=ARO:3000345@ARO:0000013#ARO:0000013	amikacin	37768	BAD14386.1	AB104852	Pseudomonas aeruginosa	287
ARO:3002573	AAC(6')-Iae	ARO:3002573=ARO:3000345@ARO:0000035#ARO:0000035	sisomicin	36119	BAD14386.1	AB104852	Pseudomonas aeruginosa	287
ARO:3002573	AAC(6')-Iae	ARO:3002573=ARO:3000345@ARO:0000038#ARO:0000038	netilmicin	41859	BAD14386.1	AB104852	Pseudomonas aeruginosa	287
ARO:3002573	AAC(6')-Iae	ARO:3002573=ARO:3000345@ARO:0000049#ARO:0000049	kanamycin A	6032	BAD14386.1	AB104852	Pseudomonas aeruginosa	287
ARO:3002573	AAC(6')-Iae	ARO:3002573=ARO:3000345@ARO:0000052#ARO:0000052	tobramycin	36294	BAD14386.1	AB104852	Pseudomonas aeruginosa	287
ARO:3002573	AAC(6')-Iae	ARO:3002573=ARO:3000345@ARO:3000652#ARO:3000652	isepamicin	3755	BAD14386.1	AB104852	Pseudomonas aeruginosa	287
ARO:3002573	AAC(6')-Iae	ARO:3002573=ARO:3000345@ARO:3000654#ARO:3000654	arbekacin	68682	BAD14386.1	AB104852	Pseudomonas aeruginosa	287
ARO:3002573	AAC(6')-Iae	ARO:3002573=ARO:3000345@ARO:3000655#ARO:3000655	gentamicin B	37569	BAD14386.1	AB104852	Pseudomonas aeruginosa	287
ARO:3002607	aadA7	ARO:3002607@ARO:0000039#ARO:0000039	spectinomycin	15541	BAD00739.1	AB114632	Vibrio fluvialis	676
ARO:3002607	aadA7	ARO:3002607@ARO:0000040#ARO:0000040	streptomycin	19649	BAD00739.1	AB114632	Vibrio fluvialis	676
ARO:3002563	AAC(6')-Isa	ARO:3002563=ARO:3000345@ARO:0000005#ARO:0000005	neomycin	8378	BAD10948.2	AB116646	Streptomyces albulus	68570
ARO:3002563	AAC(6')-Isa	ARO:3002563=ARO:3000345@ARO:0000007#ARO:0000007	dibekacin	3021	BAD10948.2	AB116646	Streptomyces albulus	68570
ARO:3002563	AAC(6')-Isa	ARO:3002563=ARO:3000345@ARO:0000013#ARO:0000013	amikacin	37768	BAD10948.2	AB116646	Streptomyces albulus	68570
